soc_code,weighted_beta
41-3041,0.49999999999999994
41-4011,0.46713087621068894
41-4012,0.5
41-9011,0.05473907518540711
41-9012,0.062301587626078715
41-9021,0.5000000000000001
41-9022,0.4436879790390309
41-9031,0.48000538954413474
41-9041,0.5
41-9091,0.1724522383307476
43-1011,0.47234867291293015
43-2011,0.38261907116481364
43-2021,0.48906062720052246
43-3011,0.5
43-3021,0.47578153739145695
43-3031,0.5000000000000001
43-3041,0.1720780446548983
43-3051,0.49999999999999994
43-3061,0.4880431723758043
43-3071,0.40439900993972516
43-4011,0.5
43-4021,0.4942021970951185
43-4031,0.4898638227993745
43-4041,0.5
43-4051,0.49999999999999994
43-4061,0.4979017004994454
43-4071,0.46408956996310746
43-4081,0.43246217186575836
43-4111,0.4416608880154884
43-4121,0.385251825616846
43-4131,0.49999999999999994
43-4141,0.4148527390961926
43-4151,0.5
43-4161,0.4822951983392569
43-4171,0.4575613292222031
43-4181,0.392031403894153
43-5011,0.5
43-5021,0.22630494707095639
43-5031,0.4621457991733668
43-5032,0.5
43-5041,0.23715768648078192
43-5051,0.28789512566743214
43-5052,0.1611885873629776
43-5053,0.046543693936035524
43-5061,0.4495527644632267
43-5071,0.3475972563427178
43-5111,0.1779931228517288
43-6011,0.4662764348153674
43-6012,0.5
43-6013,0.4999999999999999
43-6014,0.45437782031955737
43-9021,0.47835752382283203
43-9022,0.34793203037758125
43-9031,0.5
43-9041,0.5
43-9051,0.07600025460592198
43-9061,0.3586468227754944
43-9071,0.25751760808243335
43-9081,0.5
43-9111,0.4749589197075141
45-1011,0.15857889069173184
45-2011,0.1606601774816391
45-2021,0.1441421313516543
45-2041,0.05217341475050391
45-2091,0.0
45-2092,0.07003778336832216
45-2093,0.06456683649276586
45-3031,0.055106490678588374
45-4011,0.04337598403720362
45-4021,0.03301956911256922
45-4022,0.013441123959321254
45-4023,0.26703029148158264
47-1011,0.3915181614818332
47-2011,0.0932911102449096
47-2021,0.03353381240569187
47-2022,0.0
47-2031,0.09745948666840763
47-2041,0.028909645245557114
47-2042,0.0
47-2043,0.1190708766515944
47-2044,0.07624059749107313
47-2051,0.0
47-2053,0.0
47-2061,0.08065835450593753
47-2071,0.0
47-2072,0.0
47-2073,0.020811527877240173
47-2081,0.07721695884242982
47-2082,0.0
47-2111,0.08372355780793252
47-2121,0.09456990042753194
47-2131,0.027664834495888163
47-2132,0.025253419433429857
